"region","especie","timepoint","mort_total","mort_prim_depredadores","mort_prim_embrionaria","mort_prim_eliminacion","mort_prim_ambiental","mort_prim_sin_causa_aparente","mort_prim_secundaria","mort_prim_otras","mort_prim_desadaptado","mort_prim_deforme","mort_prim_dano_mecanico","mort_sec_vibrio","mort_sec_ipn","mort_sec_furunculosis_atipica","mort_sec_bkd","mort_sec_srs","mort_sec_isa","mort_sec_sit","mort_sec_yersiniosis","mort_sec_micosis","mort_sec_francisellosis","mort_sec_flavobacteriosis","mort_sec_amebiasis","mort_sec_sindrome_icterico","mort_sec_hsmi","mort_sec_tenacibaculosis","mort_sec_estreptococosis","mort_sec_ich","mort_sec_exofialosis","mort_sec_shs","mort_sec_nefrocalcinosis","mort_sec_real","mort_total_real","n_observaciones","pct_prim_depredadores","pct_prim_embrionaria","pct_prim_eliminacion","pct_prim_ambiental","pct_prim_sin_causa_aparente","pct_prim_secundaria","pct_prim_otras","pct_prim_desadaptado","pct_prim_deforme","pct_prim_dano_mecanico","pct_sec_vibrio","pct_sec_ipn","pct_sec_furunculosis_atipica","pct_sec_bkd","pct_sec_srs","pct_sec_isa","pct_sec_sit","pct_sec_yersiniosis","pct_sec_micosis","pct_sec_francisellosis","pct_sec_flavobacteriosis","pct_sec_amebiasis","pct_sec_sindrome_icterico","pct_sec_hsmi","pct_sec_tenacibaculosis","pct_sec_estreptococosis","pct_sec_ich","pct_sec_exofialosis","pct_sec_shs","pct_sec_nefrocalcinosis"
"X Región","Salmón Atlántico","Semana 1 - Enero 2024",230604,2173,0,22954,4554,3845,82356,34408,27274,8154,44190,0,0,144,967,50713,0,0,0,10,0,0,500,6,283,29467,0,0,76,139,51,82356,229908,1677,0.945160672964838,0,9.98399359743897,1.98079231692677,1.67240809367225,35.8212850357534,14.9659863945578,11.863006071994,3.54663604572264,19.2207317709693,0,0,0.174850648404488,1.17417067366069,61.5777842537277,0,0,0,0.0121424061392005,0,0,0.607120306960027,0.00728544368352033,0.343630093739375,35.7800281703822,0,0,0.0922822866579241,0.168779445334888,0.0619262713099228
"X Región","Salmón Atlántico","Semana 1 - Enero 2025",100214,790,0,19788,344,1103,15923,4303,11270,2742,43802,0,0,3,1044,9346,0,0,0,2,0,0,14,0,0,5423,0,0,40,0,51,15923,100065,773,0.789486833558187,0,19.7751461549993,0.34377654524559,1.10228351571479,15.9126567730975,4.30020486683656,11.262679258482,2.74021885774247,43.7735471943237,0,0,0.0188406707278779,6.55655341330151,58.6949695409157,0,0,0,0.0125604471519186,0,0,0.0879231300634303,0,0,34.0576524524273,0,0,0.251208943038372,0,0.320291402373925
"X Región","Salmón Atlántico","Semana 10 - Marzo 2024",100299,2331,0,8366,26912,2017,19835,5170,9951,3573,21806,0,0,22,79,11917,0,0,0,6,0,0,130,0,827,6784,0,0,53,0,17,19835,99961,891,2.33190944468343,0,8.36926401296506,26.9224997749122,2.01778693690539,19.8427386680805,5.1720170866638,9.95488240413761,3.57439401366533,21.8145076579866,0,0,0.110915049155533,0.398285858331233,60.0806654902949,0,0,0,0.0302495588606,0,0,0.655407108646332,0,4.16939752961936,34.2021678850517,0,0,0.267204436601966,0,0.0857070834383665
"X Región","Salmón Atlántico","Semana 10 - Marzo 2025",95797,682,0,14155,1037,1236,36644,12024,8497,2219,18870,0,0,0,64,24547,0,0,0,0,0,0,0,0,0,11965,0,0,59,0,9,36644,95364,729,0.715154565664192,0,14.8431273855962,1.08741244075332,1.29608657354977,38.4254016190596,12.6085315213288,8.91007088628833,2.32687387274024,19.7873411350195,0,0,0,0.17465342211549,66.9877742604519,0,0,0,0,0,0,0,0,0,32.6520030564349,0,0,0.161008623512717,0,0.0245606374849907
"X Región","Salmón Atlántico","Semana 11 - Marzo 2024",104898,2949,0,4632,4717,1869,21260,32159,10528,3863,22603,0,0,1,68,11557,0,0,0,0,0,0,357,0,62,9152,0,0,32,0,31,21260,104580,905,2.81985083189902,0,4.42914515203672,4.51042264295276,1.78714859437751,20.3289347867661,30.7506215337541,10.0669344042838,3.69382291069038,21.6131191432396,0,0,0.00470366886171214,0.319849482596425,54.3603010348071,0,0,0,0,0,0,1.67920978363123,0,0.291627469426152,43.0479774223895,0,0,0.150517403574788,0,0.145813734713076
"X Región","Salmón Atlántico","Semana 11 - Marzo 2025",93975,536,0,15873,2141,1380,33939,9110,9073,2403,19231,0,0,0,108,23214,0,0,0,0,0,0,0,0,0,10529,0,0,84,0,4,33939,93686,724,0.572123903251286,0,16.942766261768,2.28529342697948,1.47300557180368,36.2263305082937,9.72397156458809,9.68447793693828,2.56495100655381,20.5270798198237,0,0,0,0.318217979315831,68.3991867762751,0,0,0,0,0,0,0,0,0,31.0233065205221,0,0,0.247502872801202,0,0.0117858510857715
"X Región","Salmón Atlántico","Semana 12 - Marzo 2024",230595,3075,0,21105,120736,1480,19559,29188,10095,3034,21877,0,0,2,141,11693,0,0,0,12,0,0,396,0,218,7036,0,0,20,0,41,19559,230149,906,1.33609096715606,0,9.17014629652964,52.4599281335135,0.64306166874503,8.4984075533676,12.6822189103581,4.38628888241965,1.31827642092731,9.50558116698313,0,0,0.0102254716498799,0.720895751316529,59.7832200010225,0,0,0,0.0613528298992791,0,0,2.02464338667621,0,1.1145764098369,35.9732092642773,0,0,0.102254716498798,0,0.209622168822537
"X Región","Salmón Atlántico","Semana 12 - Marzo 2025",91993,293,0,7742,2144,1127,32489,5300,9036,2230,30977,0,0,0,283,23247,0,0,0,0,0,0,0,0,0,8881,0,0,71,0,7,32489,91338,712,0.320786529155445,0,8.47620924478311,2.34732531914428,1.23387856094944,35.5700803608575,5.80262322363091,9.89292517900545,2.44148109220697,33.9146904902669,0,0,0,0.871064052448521,71.553448859614,0,0,0,0,0,0,0,0,0,27.3354058296654,0,0,0.218535504324541,0,0.0215457539474899
"X Región","Salmón Atlántico","Semana 13 - Marzo 2024",170857,13765,0,49915,9214,2015,25512,32323,9717,3068,24885,0,0,11,101,14744,0,0,0,43,0,0,849,0,66,9664,0,0,19,0,15,25512,170414,898,8.07738800802751,0,29.29043388454,5.40683277195536,1.18241459035056,14.9706010069595,18.9673383642189,5.70199631485676,1.80032156982408,14.6026734892673,0,0,0.0431169645656946,0.395892129194105,57.7924114142364,0,0,0,0.168548134211352,0,0,3.32784571966134,0,0.258701787394167,37.8802132329884,0,0,0.0744747569771088,0,0.0587958607714017
"X Región","Salmón Atlántico","Semana 13 - Marzo 2025",72137,191,0,9111,3026,1039,28351,2633,7452,1901,17512,0,0,0,59,21384,0,0,0,0,0,0,0,0,0,6820,0,0,82,0,6,28351,71216,703,0.268198157717367,0,12.7934733767693,4.24904515839137,1.45894181082903,39.8098741855763,3.69720287575826,10.463940687486,2.66934396764772,24.5899797798248,0,0,0,0.208105534196325,75.4259109026137,0,0,0,0,0,0,0,0,0,24.0555888681175,0,0,0.289231420408451,0,0.021163274664033
