"region","especie","timepoint","mort_total","mort_prim_depredadores","mort_prim_embrionaria","mort_prim_eliminacion","mort_prim_ambiental","mort_prim_sin_causa_aparente","mort_prim_secundaria","mort_prim_otras","mort_prim_desadaptado","mort_prim_deforme","mort_prim_dano_mecanico","mort_sec_vibrio","mort_sec_ipn","mort_sec_furunculosis_atipica","mort_sec_bkd","mort_sec_srs","mort_sec_isa","mort_sec_sit","mort_sec_yersiniosis","mort_sec_micosis","mort_sec_francisellosis","mort_sec_flavobacteriosis","mort_sec_amebiasis","mort_sec_sindrome_icterico","mort_sec_hsmi","mort_sec_tenacibaculosis","mort_sec_estreptococosis","mort_sec_ich","mort_sec_exofialosis","mort_sec_shs","mort_sec_nefrocalcinosis","mort_sec_real","mort_total_real","n_observaciones"
"X Región","Salmón Atlántico","Semana 1 - Enero 2024",230604,2173,0,22954,4554,3845,82356,34408,27274,8154,44190,0,0,144,967,50713,0,0,0,10,0,0,500,6,283,29467,0,0,76,139,51,82356,229908,1677
"X Región","Salmón Atlántico","Semana 1 - Enero 2025",100214,790,0,19788,344,1103,15923,4303,11270,2742,43802,0,0,3,1044,9346,0,0,0,2,0,0,14,0,0,5423,0,0,40,0,51,15923,100065,773
"X Región","Salmón Atlántico","Semana 10 - Marzo 2024",100299,2331,0,8366,26912,2017,19835,5170,9951,3573,21806,0,0,22,79,11917,0,0,0,6,0,0,130,0,827,6784,0,0,53,0,17,19835,99961,891
"X Región","Salmón Atlántico","Semana 10 - Marzo 2025",95797,682,0,14155,1037,1236,36644,12024,8497,2219,18870,0,0,0,64,24547,0,0,0,0,0,0,0,0,0,11965,0,0,59,0,9,36644,95364,729
"X Región","Salmón Atlántico","Semana 11 - Marzo 2024",104898,2949,0,4632,4717,1869,21260,32159,10528,3863,22603,0,0,1,68,11557,0,0,0,0,0,0,357,0,62,9152,0,0,32,0,31,21260,104580,905
"X Región","Salmón Atlántico","Semana 11 - Marzo 2025",93975,536,0,15873,2141,1380,33939,9110,9073,2403,19231,0,0,0,108,23214,0,0,0,0,0,0,0,0,0,10529,0,0,84,0,4,33939,93686,724
"X Región","Salmón Atlántico","Semana 12 - Marzo 2024",230595,3075,0,21105,120736,1480,19559,29188,10095,3034,21877,0,0,2,141,11693,0,0,0,12,0,0,396,0,218,7036,0,0,20,0,41,19559,230149,906
"X Región","Salmón Atlántico","Semana 12 - Marzo 2025",91993,293,0,7742,2144,1127,32489,5300,9036,2230,30977,0,0,0,283,23247,0,0,0,0,0,0,0,0,0,8881,0,0,71,0,7,32489,91338,712
"X Región","Salmón Atlántico","Semana 13 - Marzo 2024",170857,13765,0,49915,9214,2015,25512,32323,9717,3068,24885,0,0,11,101,14744,0,0,0,43,0,0,849,0,66,9664,0,0,19,0,15,25512,170414,898
"X Región","Salmón Atlántico","Semana 13 - Marzo 2025",72137,191,0,9111,3026,1039,28351,2633,7452,1901,17512,0,0,0,59,21384,0,0,0,0,0,0,0,0,0,6820,0,0,82,0,6,28351,71216,703
"X Región","Salmón Atlántico","Semana 14 - Abril 2024",124425,6079,0,11793,5632,1950,33810,20848,11934,3706,28249,0,0,3,103,23478,0,0,0,151,0,0,559,0,238,9254,0,0,5,0,19,33810,124001,904
"X Región","Salmón Atlántico","Semana 14 - Abril 2025",110629,943,0,9094,2757,1339,39927,12137,8150,2479,32696,0,0,0,40,27203,0,0,0,2817,0,0,0,0,0,9783,0,0,64,0,20,39927,109522,1408
"X Región","Salmón Atlántico","Semana 15 - Abril 2024",156067,3603,0,3951,47912,2431,33090,14086,13183,5438,31460,0,0,0,49,22425,0,0,205,18,0,0,1852,6,168,8339,0,0,19,0,9,33090,155154,897
"X Región","Salmón Atlántico","Semana 15 - Abril 2025",92105,260,0,6362,3786,1358,30310,19374,8512,2413,18680,0,0,0,67,16420,0,0,0,5056,0,0,3,0,0,8694,0,0,57,0,13,30310,91055,720
"X Región","Salmón Atlántico","Semana 16 - Abril 2024",239814,8540,0,4226,91361,2654,39620,43605,13017,4342,30358,0,0,0,134,23273,0,0,28,34,0,0,1258,1,568,14291,0,0,21,0,12,39620,237723,907
"X Región","Salmón Atlántico","Semana 16 - Abril 2025",140278,1835,0,5708,4707,1392,26709,66401,8264,2221,22161,0,0,0,63,16970,0,0,0,673,0,0,0,0,0,8903,0,0,85,0,15,26709,139398,729
"X Región","Salmón Atlántico","Semana 17 - Abril 2024",140309,12148,0,3282,16601,2200,33110,23151,14488,3901,29526,0,0,1,87,16928,0,0,0,7,0,0,475,1,612,14918,0,0,4,0,77,33110,138407,898
"X Región","Salmón Atlántico","Semana 17 - Abril 2025",89452,1879,0,5229,3504,1568,25335,20630,8708,2235,19490,0,0,0,302,16566,0,0,0,575,0,0,0,0,0,7821,0,0,60,0,11,25335,88578,741
"X Región","Salmón Atlántico","Semana 18 - Mayo 2024",161592,9614,0,16702,22933,1827,29795,24881,14641,5226,34625,0,0,0,179,17812,0,0,0,4,0,0,167,2,398,11158,0,0,10,0,65,29795,160244,1796
"X Región","Salmón Atlántico","Semana 18 - Mayo 2025",91452,1721,0,4153,1986,1359,30416,22835,7940,2138,17845,0,0,0,368,18989,0,0,0,190,0,0,0,0,0,10848,0,0,17,0,4,30416,90393,1496
"X Región","Salmón Atlántico","Semana 19 - Mayo 2024",163814,7114,0,20063,19224,2874,34160,22939,15352,5953,35413,0,0,0,119,19728,0,0,0,26,0,0,379,0,620,13270,0,0,11,0,7,34160,163092,898
"X Región","Salmón Atlántico","Semana 19 - Mayo 2025",109773,5210,0,7936,1424,1436,33949,26269,8407,2369,22070,0,0,32,353,21570,0,0,0,77,0,0,0,0,0,11893,0,0,17,0,7,33949,109070,757
"X Región","Salmón Atlántico","Semana 2 - Enero 2024",155076,2282,0,20008,3031,3108,70181,7549,14034,5276,28984,0,0,87,317,42461,0,0,0,0,0,0,896,7,639,25718,0,0,29,0,27,70181,154453,898
"X Región","Salmón Atlántico","Semana 2 - Enero 2025",138253,284,0,8908,464,1669,22934,36766,13498,3901,49620,0,0,269,1395,10764,0,0,0,5,0,0,4,0,0,10365,0,0,49,0,83,22934,138044,773
"X Región","Salmón Atlántico","Semana 20 - Mayo 2024",154210,2626,0,11273,7467,2472,33886,31181,12575,3934,47922,0,0,3,188,17251,0,0,1,33,0,0,276,0,595,15533,0,0,2,0,4,33886,153336,898
"X Región","Salmón Atlántico","Semana 20 - Mayo 2025",124128,2425,0,11212,1600,1841,45467,24483,9984,3214,23412,0,1,63,657,25640,0,0,0,27,0,0,0,0,0,19031,0,0,33,0,15,45467,123638,755
"X Región","Salmón Atlántico","Semana 21 - Mayo 2024",193813,6678,0,25820,23578,3129,47238,18618,18470,5022,44296,0,0,18,128,25300,0,0,0,66,0,0,540,0,436,20667,0,0,7,0,76,47238,192849,898
"X Región","Salmón Atlántico","Semana 21 - Mayo 2025",135033,1734,0,15073,3906,1764,44940,24804,11121,2739,28455,0,0,45,273,27136,0,0,0,10,0,0,0,0,0,17429,0,0,41,0,6,44940,134536,775
"X Región","Salmón Atlántico","Semana 22 - Junio 2024",214106,8815,0,19339,26924,2505,54548,39537,16055,7011,37197,0,11,3266,132,28238,0,0,0,1058,0,0,2618,1,1167,17991,0,0,0,1,65,54548,211931,1820
"X Región","Salmón Atlántico","Semana 22 - Junio 2025",153459,4513,0,11684,3956,2040,59330,25032,9369,2775,34314,0,2,0,1673,38770,0,0,0,3,0,0,0,0,0,18859,0,0,20,0,3,59330,153013,1532
"X Región","Salmón Atlántico","Semana 23 - Junio 2024",223438,5512,0,30783,26799,4863,55287,25406,19887,6873,44480,0,0,699,123,28176,0,0,0,407,0,0,2704,0,1535,21604,0,0,2,0,37,55287,219890,896
"X Región","Salmón Atlántico","Semana 23 - Junio 2025",160203,3822,0,22706,11330,2594,53944,18773,10620,3279,32486,0,0,20,2470,35736,0,0,0,676,0,0,0,0,0,15014,0,0,19,0,9,53944,159554,801
"X Región","Salmón Atlántico","Semana 24 - Junio 2024",184096,4470,0,21383,12158,3689,54381,24472,14935,4714,40831,0,0,201,320,26869,0,0,0,684,0,0,937,0,3204,22137,0,0,6,0,23,54381,181033,890
"X Región","Salmón Atlántico","Semana 24 - Junio 2025",196585,2243,0,23697,51110,1953,43100,23976,12573,2893,34709,0,0,463,3134,26241,0,0,0,1774,0,0,0,0,0,11442,0,0,38,0,8,43100,196254,815
"X Región","Salmón Atlántico","Semana 25 - Junio 2024",191431,5816,0,28496,9865,2560,49563,33270,17113,4508,37529,0,0,553,273,24022,0,0,0,464,0,0,66,0,1203,22936,0,0,14,0,32,49563,188720,885
"X Región","Salmón Atlántico","Semana 25 - Junio 2025",132712,2932,0,12386,926,1933,37621,25698,11660,2959,36068,0,0,360,3010,18855,0,0,0,1704,0,0,0,0,0,13647,0,0,34,0,11,37621,132183,845
"X Región","Salmón Atlántico","Semana 26 - Junio 2024",169151,5345,0,24682,4628,3247,53317,11709,16429,4622,43667,0,0,7964,246,25118,0,0,0,146,0,0,102,0,326,19291,0,0,23,0,101,53317,167646,877
"X Región","Salmón Atlántico","Semana 26 - Junio 2025",119344,3280,0,13617,582,1699,27969,18804,14714,2876,35047,0,0,29,1814,14776,0,0,0,415,0,0,0,1,0,10886,0,0,44,0,4,27969,118588,870
"X Región","Salmón Atlántico","Semana 27 - Julio 2024",130996,3621,0,16310,2652,2342,47994,8972,14410,3472,29904,0,0,4030,197,23160,0,0,0,147,0,0,149,5,932,19327,0,0,18,0,29,47994,129677,869
"X Región","Salmón Atlántico","Semana 27 - Julio 2025",126883,11772,0,14007,2191,2333,26006,13029,13444,3199,39029,0,0,25,1939,12276,0,0,0,142,0,0,0,0,0,11500,0,0,74,0,50,26006,125010,1742
"X Región","Salmón Atlántico","Semana 28 - Julio 2024",132314,4805,0,25897,3022,2125,38156,11994,11359,2700,31172,0,0,431,465,18053,0,0,0,104,0,0,96,2,487,18431,0,0,23,0,64,38156,131230,867
"X Región","Salmón Atlántico","Semana 28 - Julio 2025",125673,7108,0,15536,1018,1587,23117,10735,12631,3632,48480,0,0,47,1389,10775,0,0,0,30,0,0,0,0,0,10805,0,0,47,0,24,23117,123844,873
"X Región","Salmón Atlántico","Semana 29 - Julio 2024",125896,2894,0,21566,1706,1583,37980,12984,11503,3147,31492,0,1,468,496,18509,0,0,0,63,0,0,123,0,465,17759,0,0,25,0,71,37980,124855,888
"X Región","Salmón Atlántico","Semana 29 - Julio 2025",130524,6571,0,28233,921,1525,24255,11518,11816,3758,39879,0,0,19,483,10720,0,0,0,125,0,0,0,0,0,12875,0,0,9,0,24,24255,128476,874
"X Región","Salmón Atlántico","Semana 3 - Enero 2024",119503,2783,0,9722,1498,2298,54511,5099,15188,2928,25058,0,0,65,145,31927,0,0,0,0,0,0,380,11,1895,20009,0,0,42,0,37,54511,119085,890
"X Región","Salmón Atlántico","Semana 3 - Enero 2025",83618,633,0,9833,1594,2450,20641,4052,12393,3667,28084,0,0,93,664,12908,0,0,0,0,0,0,0,0,0,6864,0,0,72,0,40,20641,83347,767
"X Región","Salmón Atlántico","Semana 30 - Julio 2024",122878,6141,0,16197,5031,1591,34376,10693,11150,3103,33446,0,0,191,394,18868,0,0,0,72,0,0,59,0,333,14291,0,0,24,0,144,34376,121728,890
"X Región","Salmón Atlántico","Semana 30 - Julio 2025",116636,11390,0,17417,2285,1464,23485,14583,10123,3546,31480,0,0,3,553,12085,0,0,0,5,0,0,0,0,0,10726,0,0,34,0,79,23485,115773,872
"X Región","Salmón Atlántico","Semana 31 - Agosto 2024",116603,6467,0,18680,2048,1671,32195,8851,10510,2597,32416,0,0,195,447,17278,0,0,0,57,0,0,0,0,197,13856,0,0,13,0,152,32195,115435,1770
"X Región","Salmón Atlántico","Semana 31 - Agosto 2025",104292,8657,0,4749,2002,2106,21806,13540,10429,3361,32240,0,0,0,1091,9872,0,0,0,1,0,0,0,0,0,10805,0,0,14,0,23,21806,98890,1728
"X Región","Salmón Atlántico","Semana 32 - Agosto 2024",117292,3473,0,18398,2037,1652,32501,13265,11366,2642,31118,0,0,277,476,14120,0,0,0,43,0,0,0,1,2055,15379,0,0,15,0,135,32501,116452,876
"X Región","Salmón Atlántico","Semana 32 - Agosto 2025",96403,7135,0,4255,1300,1755,19412,6390,10765,3849,36742,0,0,132,811,8789,0,0,0,0,0,0,0,0,0,9658,0,0,17,0,5,19412,91603,872
"X Región","Salmón Atlántico","Semana 33 - Agosto 2024",146509,4726,0,40201,1556,1320,31137,13722,12629,2335,38027,0,0,343,478,12936,0,0,0,544,0,0,0,0,3735,12956,0,0,8,0,137,31137,145653,878
"X Región","Salmón Atlántico","Semana 33 - Agosto 2025",112282,10872,0,5259,680,1671,25271,13932,11643,3792,34112,0,0,312,805,9197,0,0,0,110,0,0,0,0,0,14829,0,0,11,0,7,25271,107232,872
"X Región","Salmón Atlántico","Semana 34 - Agosto 2024",133315,9209,0,31179,1043,1581,30655,18495,9759,2835,28129,0,0,1076,412,11981,0,0,0,1214,0,0,0,1,3604,12087,0,0,9,0,271,30655,132885,875
"X Región","Salmón Atlántico","Semana 35 - Septiembre 2024",156308,9583,0,40226,5240,1556,33231,25280,10119,2044,28746,0,280,1751,471,12668,0,0,0,1058,0,0,1,2,2504,14184,0,0,14,3,295,33231,156025,1682
"X Región","Salmón Atlántico","Semana 36 - Septiembre 2024",203995,28366,0,44368,1690,1992,29436,24690,12836,2554,57755,0,26,938,159,11511,0,0,0,1977,0,0,3,0,716,13849,0,0,11,0,246,29436,203687,867
"X Región","Salmón Atlántico","Semana 37 - Septiembre 2024",204671,29624,0,44475,69,2125,24531,31652,12094,2840,57044,0,0,1538,417,9173,0,0,0,1317,0,0,60,0,559,11233,0,0,8,0,226,24531,204454,866
"X Región","Salmón Atlántico","Semana 38 - Septiembre 2024",127773,34988,0,15355,151,1955,22315,8883,9578,2597,32021,0,0,246,211,7707,0,0,0,3954,0,0,0,2,85,9847,0,0,9,0,254,22315,127843,858
"X Región","Salmón Atlántico","Semana 39 - Septiembre 2024",160024,30974,0,21030,39,2195,20497,19387,11530,2877,51536,0,0,133,439,7922,0,0,0,1242,0,0,51,0,180,10247,0,0,15,0,268,20497,160065,875
"X Región","Salmón Atlántico","Semana 4 - Enero 2024",138232,3020,0,29457,2242,2694,29665,14058,24570,4060,27965,0,0,47,206,17208,0,0,0,270,0,0,162,7,875,10788,0,0,86,1,15,29665,137731,897
"X Región","Salmón Atlántico","Semana 4 - Enero 2025",103681,87,0,21854,6766,1605,20070,4747,11553,3203,33609,0,0,50,411,11764,0,0,0,0,0,0,0,0,0,7761,0,0,67,0,17,20070,103494,756
"X Región","Salmón Atlántico","Semana 40 - Octubre 2024",146662,13908,0,33069,5,2278,18106,15646,9741,2424,51875,0,0,1047,385,6516,0,0,0,583,0,0,49,0,314,8664,0,0,17,0,531,18106,147052,1720
"X Región","Salmón Atlántico","Semana 41 - Octubre 2024",229964,16911,0,46319,20,2021,19489,86235,10800,2503,45851,0,0,3350,622,6259,0,0,0,400,0,0,49,0,741,7742,0,0,16,0,310,19489,230149,837
"X Región","Salmón Atlántico","Semana 42 - Octubre 2024",135525,15663,0,32326,18,1900,21886,7376,7874,2444,46425,0,0,5738,655,6455,0,0,0,3,0,1,115,0,128,8247,0,0,27,0,517,21886,135912,837
"X Región","Salmón Atlántico","Semana 43 - Octubre 2024",106004,11703,0,11025,86,2076,16947,8176,11552,2662,41940,0,0,2692,972,5770,0,0,0,29,0,0,261,0,40,6880,0,0,27,0,276,16947,106167,837
"X Región","Salmón Atlántico","Semana 44 - Noviembre 2024",86563,12437,0,8010,2,1688,21525,5149,9296,2128,26377,0,0,7679,1179,5726,0,0,0,2,0,0,320,0,57,6394,0,0,8,0,160,21525,86612,1614
"X Región","Salmón Atlántico","Semana 45 - Noviembre 2024",84875,11897,0,10101,213,1694,17324,8038,10530,2143,22936,0,0,3034,1103,6764,0,0,0,2,0,0,70,0,93,6056,0,0,11,0,191,17324,84876,803
"X Región","Salmón Atlántico","Semana 46 - Noviembre 2024",85176,9042,0,14958,273,1627,18470,4711,9834,2100,23996,0,0,641,3956,7580,0,0,0,0,0,0,10,0,68,6101,0,0,23,0,91,18470,85011,797
"X Región","Salmón Atlántico","Semana 47 - Noviembre 2024",115407,7572,0,29154,90,2340,22493,13438,10431,2801,26939,0,0,349,2922,9967,0,0,0,273,0,0,0,0,89,8780,0,0,19,0,94,22493,115258,802
"X Región","Salmón Atlántico","Semana 48 - Diciembre 2024",157716,3821,0,71378,46,1682,31644,6269,8864,2237,31384,0,0,52,1832,20174,0,0,0,237,0,0,0,0,88,9177,0,0,15,0,69,31644,157325,1572
"X Región","Salmón Atlántico","Semana 49 - Diciembre 2024",122526,2403,0,44148,174,1484,32527,3796,12313,2331,23228,0,1,18,1786,22206,0,0,0,3,0,0,0,0,34,8370,0,0,23,0,86,32527,122404,779
"X Región","Salmón Atlántico","Semana 5 - Febrero 2024",111491,3173,0,34786,1023,2617,17986,8036,12874,3336,27268,0,1,131,261,9625,0,0,0,259,0,0,345,4,57,7216,0,0,59,0,28,17986,111099,1776
"X Región","Salmón Atlántico","Semana 5 - Febrero 2025",145016,145,0,59239,2342,1734,36948,8176,11781,2614,21869,0,0,5,507,10878,0,0,0,1,0,0,17712,0,0,7747,0,0,63,0,35,36948,144848,1504
"X Región","Salmón Atlántico","Semana 50 - Diciembre 2024",139674,3580,0,61698,503,1694,27464,6425,11373,2482,24365,0,0,23,1176,19824,0,0,0,10,0,0,2,0,3,6251,0,0,63,0,112,27464,139584,781
"X Región","Salmón Atlántico","Semana 51 - Diciembre 2024",109696,1687,0,36127,571,1759,22019,6617,12670,3324,24673,0,0,30,1003,12024,0,0,0,60,0,0,0,4,12,8749,0,0,59,0,78,22019,109447,776
"X Región","Salmón Atlántico","Semana 52 - Diciembre 2024",132577,418,0,35524,9169,1433,26554,8010,14004,4526,32722,0,0,9,1347,14892,0,0,0,88,0,0,0,0,2,10107,0,0,23,0,86,26554,132360,774
"X Región","Salmón Atlántico","Semana 6 - Febrero 2024",84847,2099,0,18897,1565,2871,14599,13133,8603,3336,19382,0,0,157,265,7373,0,0,0,67,0,0,221,0,60,6437,0,0,17,0,2,14599,84485,886
"X Región","Salmón Atlántico","Semana 6 - Febrero 2025",194426,571,0,120873,102,1659,22885,8515,8589,2691,28168,0,0,3,399,13010,0,0,0,0,0,0,890,3,0,8480,0,0,71,0,29,22885,194053,751
